time,open,high,low,close,volume
2024-01-02,64.56,64.84,64.27,64.65,2144983
2024-01-03,64.75,65.31,64.37,65.31,1891530
2024-01-04,65.41,65.79,65.31,65.31,3403997
2024-01-05,65.6,65.6,64.84,65.13,1477880
2024-01-08,65.31,65.41,64.56,64.56,2399171
2024-01-09,64.56,64.84,64.37,64.46,2461700
2024-01-10,64.46,64.46,63.8,63.89,3010809
2024-01-11,63.89,64.84,63.89,64.27,2085776
2024-01-12,63.99,64.27,63.42,63.61,3286730
2024-01-15,63.61,63.89,63.42,63.42,2228627
2024-01-16,63.42,63.8,63.14,63.8,2074925
2024-01-17,63.89,64.27,63.42,63.52,1829118
2024-01-18,63.71,64.18,63.71,63.8,1230002
2024-01-19,63.8,64.94,63.8,64.37,2621840
2024-01-22,64.37,65.03,64.37,64.65,1961559
2024-01-23,64.65,64.65,63.99,64.08,2113751
2024-01-24,64.18,64.37,63.61,63.71,2085392
2024-01-25,63.8,63.89,63.33,63.33,2662473
2024-01-26,63.42,63.89,63.42,63.42,1677432
2024-01-29,63.52,63.71,63.33,63.42,1734356
2024-01-30,63.71,63.71,63.33,63.33,1791324
2024-01-31,63.61,64.56,63.33,63.42,4021787
2024-02-01,63.61,64.18,63.61,63.89,2500699
2024-02-02,63.89,64.08,63.42,63.8,2613144
2024-02-05,63.8,64.56,63.61,64.37,3568444
2024-02-06,64.46,64.56,63.99,63.99,2394933
2024-02-07,63.99,64.27,63.61,63.99,2737292
2024-02-15,63.99,64.37,63.61,63.99,3880447
2024-02-16,64.18,66.55,63.89,66.26,11120422
2024-02-19,67.11,68.72,66.92,68.06,6660129
2024-02-20,67.87,68.53,67.49,67.68,4390643
2024-02-21,67.68,68.06,67.21,67.49,3593123
2024-02-22,67.49,68.82,67.3,67.78,4652126
2024-02-23,67.97,68.82,67.21,67.21,6146121
2024-02-26,67.21,67.87,66.92,67.21,3050150
2024-02-27,67.4,68.53,67.3,68.15,5285311
2024-02-28,68.53,68.72,67.68,68.34,3422219
2024-02-29,68.72,69.38,67.78,68.15,6543917
2024-03-01,68.25,68.25,67.4,67.68,4399953
2024-03-04,67.97,68.82,67.78,68.15,5018814
2024-03-05,68.15,69.1,67.87,69.1,5443242
2024-03-06,69.38,69.57,67.97,67.97,4837251
2024-03-07,67.87,68.25,67.49,68.15,5070038
2024-03-08,68.25,69.01,66.26,66.26,7364624
2024-03-11,66.73,67.49,66.26,66.55,4214115
2024-03-12,66.64,66.83,66.26,66.26,3847561
2024-03-13,66.36,67.11,66.26,67.02,5648587
2024-03-14,67.21,67.49,66.55,66.73,5449322
